timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1637044233806,467,HTTP Request,200,OK,Thread Group 1-50,text,true,,11229,117,50,50,http://192.168.50.8/,456,0,132
1637044233403,1171,HTTP Request,200,OK,Thread Group 1-2,text,true,,11229,117,49,49,http://192.168.50.8/,1170,0,1145
1637044233388,1186,HTTP Request,200,OK,Thread Group 1-8,text,true,,11229,117,49,49,http://192.168.50.8/,1181,0,1159
1637044233368,1212,HTTP Request,200,OK,Thread Group 1-16,text,true,,11229,117,47,47,http://192.168.50.8/,1205,0,1180
1637044233440,1148,HTTP Request,200,OK,Thread Group 1-31,text,true,,11229,117,46,46,http://192.168.50.8/,1145,0,1108
1637044233385,1209,HTTP Request,200,OK,Thread Group 1-28,text,true,,11229,117,45,45,http://192.168.50.8/,1208,0,1164
1637044233398,1199,HTTP Request,200,OK,Thread Group 1-11,text,true,,11229,117,44,44,http://192.168.50.8/,1197,0,1151
1637044233399,1204,HTTP Request,200,OK,Thread Group 1-25,text,true,,11229,117,43,43,http://192.168.50.8/,1202,0,1150
1637044233386,1222,HTTP Request,200,OK,Thread Group 1-12,text,true,,11229,117,42,42,http://192.168.50.8/,1220,0,1163
1637044233387,1228,HTTP Request,200,OK,Thread Group 1-19,text,true,,11229,117,41,41,http://192.168.50.8/,1227,0,1163
1637044233483,1140,HTTP Request,200,OK,Thread Group 1-33,text,true,,11229,117,40,40,http://192.168.50.8/,1138,0,1067
1637044233379,1253,HTTP Request,200,OK,Thread Group 1-1,text,true,,11229,117,39,39,http://192.168.50.8/,1252,0,1172
1637044233378,1259,HTTP Request,200,OK,Thread Group 1-9,text,true,,11229,117,38,38,http://192.168.50.8/,1256,0,1173
1637044233502,1143,HTTP Request,200,OK,Thread Group 1-34,text,true,,11229,117,37,37,http://192.168.50.8/,1142,0,1053
1637044233380,1325,HTTP Request,200,OK,Thread Group 1-7,text,true,,11229,117,36,36,http://192.168.50.8/,1286,0,1176
1637044233518,1190,HTTP Request,200,OK,Thread Group 1-35,text,true,,11229,117,35,35,http://192.168.50.8/,1154,0,1038
1637044233373,1335,HTTP Request,200,OK,Thread Group 1-21,text,true,,11229,117,35,35,http://192.168.50.8/,1301,0,1184
1637044233378,1331,HTTP Request,200,OK,Thread Group 1-13,text,true,,11229,117,35,35,http://192.168.50.8/,1301,0,1180
1637044233581,1133,HTTP Request,200,OK,Thread Group 1-38,text,true,,11229,117,33,33,http://192.168.50.8/,1125,0,1089
1637044233462,1254,HTTP Request,200,OK,Thread Group 1-32,text,true,,11229,117,31,31,http://192.168.50.8/,1252,0,1101
1637044233651,1177,HTTP Request,200,OK,Thread Group 1-42,text,true,,11229,117,30,30,http://192.168.50.8/,1145,0,1031
1637044233385,1447,HTTP Request,200,OK,Thread Group 1-18,text,true,,11229,117,29,29,http://192.168.50.8/,1413,0,1298
1637044233372,1463,HTTP Request,200,OK,Thread Group 1-20,text,true,,11229,117,28,28,http://192.168.50.8/,1427,0,1311
1637044233395,1443,HTTP Request,200,OK,Thread Group 1-22,text,true,,11229,117,27,27,http://192.168.50.8/,1411,0,1289
1637044233731,1127,HTTP Request,200,OK,Thread Group 1-46,text,true,,11229,117,26,26,http://192.168.50.8/,1121,0,1005
1637044233388,1543,HTTP Request,200,OK,Thread Group 1-15,text,true,,11229,117,25,25,http://192.168.50.8/,1537,0,1176
1637044233537,1405,HTTP Request,200,OK,Thread Group 1-36,text,true,,11229,117,24,24,http://192.168.50.8/,1404,0,1150
1637044233396,1553,HTTP Request,200,OK,Thread Group 1-5,text,true,,11229,117,23,23,http://192.168.50.8/,1533,0,1168
1637044233402,1572,HTTP Request,200,OK,Thread Group 1-17,text,true,,11229,117,22,22,http://192.168.50.8/,1558,0,1165
1637044233370,1671,HTTP Request,200,OK,Thread Group 1-27,text,true,,11229,117,21,21,http://192.168.50.8/,1671,0,1317
1637044233377,1660,HTTP Request,200,OK,Thread Group 1-23,text,true,,11229,117,21,21,http://192.168.50.8/,1660,0,1310
1637044233555,1480,HTTP Request,200,OK,Thread Group 1-37,text,true,,11229,117,21,21,http://192.168.50.8/,1422,0,1014
